# Time-averaged data for fix myat1
# TimeStep v_Ntype1in v_Ntype1ou
1000 17 1480
2000 16 1481
3000 14 1483
4000 13 1484
5000 15 1482
6000 13 1484
7000 20 1477
8000 25 1472
9000 33 1464
10000 34 1463
11000 28 1469
12000 28 1469
13000 34 1463
14000 32 1465
15000 32 1465
16000 38 1459
17000 32 1465
18000 37 1460
19000 34 1463
20000 39 1458
21000 36 1461
22000 36 1461
23000 38 1459
24000 35 1462
25000 35 1462
26000 31 1466
27000 37 1460
28000 36 1461
29000 33 1464
30000 36 1461
31000 35 1462
32000 44 1453
33000 37 1460
34000 41 1456
35000 39 1458
36000 49 1448
37000 43 1454
38000 44 1453
39000 48 1449
40000 46 1451
41000 45 1452
42000 48 1449
43000 56 1441
44000 52 1445
45000 50 1447
46000 54 1443
47000 51 1446
48000 52 1445
49000 51 1446
50000 53 1444
51000 55 1442
52000 64 1433
53000 60 1437
54000 60 1437
55000 62 1435
56000 62 1435
57000 59 1438
58000 60 1437
59000 62 1435
60000 61 1436
61000 67 1430
62000 68 1429
63000 71 1426
64000 69 1428
65000 70 1427
66000 67 1430
67000 66 1431
68000 71 1426
69000 72 1425
70000 74 1423
71000 68 1429
72000 68 1429
73000 69 1428
74000 66 1431
75000 68 1429
76000 63 1434
77000 66 1431
78000 68 1429
79000 64 1433
80000 63 1434
81000 64 1433
82000 69 1428
83000 68 1429
84000 73 1424
85000 69 1428
86000 68 1429
87000 69 1428
88000 66 1431
89000 74 1423
90000 72 1425
91000 75 1422
92000 82 1415
93000 72 1425
94000 75 1422
95000 77 1420
96000 79 1418
97000 74 1423
98000 78 1419
99000 78 1419
100000 76 1421
101000 74 1423
102000 72 1425
103000 80 1417
104000 81 1416
105000 80 1417
106000 75 1422
107000 78 1419
108000 78 1419
109000 83 1414
110000 83 1414
111000 86 1411
112000 85 1412
113000 87 1410
114000 89 1408
115000 81 1416
116000 87 1410
117000 90 1407
118000 90 1407
119000 83 1414
120000 91 1406
121000 93 1404
122000 93 1404
123000 98 1399
124000 99 1398
125000 97 1400
126000 103 1394
127000 100 1397
128000 100 1397
129000 98 1399
130000 99 1398
131000 98 1399
132000 101 1396
133000 101 1396
134000 110 1387
135000 102 1395
136000 109 1388
137000 102 1395
138000 101 1396
139000 103 1394
140000 108 1389
141000 108 1389
142000 106 1391
143000 106 1391
144000 103 1394
145000 105 1392
146000 104 1393
147000 104 1393
148000 106 1391
149000 108 1389
150000 101 1396
151000 107 1390
152000 104 1393
153000 102 1395
154000 99 1398
155000 104 1393
156000 99 1398
157000 102 1395
158000 95 1402
159000 91 1406
160000 97 1400
161000 103 1394
162000 99 1398
163000 101 1396
164000 102 1395
165000 99 1398
166000 96 1401
167000 100 1397
168000 106 1391
169000 103 1394
170000 103 1394
171000 105 1392
172000 101 1396
173000 105 1392
174000 106 1391
175000 108 1389
176000 107 1390
177000 110 1387
178000 111 1386
179000 107 1390
180000 113 1384
181000 112 1385
182000 112 1385
183000 113 1384
184000 103 1394
185000 109 1388
186000 110 1387
187000 108 1389
188000 112 1385
189000 112 1385
190000 116 1381
191000 115 1382
192000 115 1382
193000 117 1380
194000 118 1379
195000 119 1378
196000 120 1377
197000 126 1371
198000 120 1377
199000 119 1378
200000 122 1375
201000 119 1378
202000 118 1379
203000 122 1375
204000 123 1374
205000 117 1380
206000 120 1377
207000 113 1384
208000 112 1385
209000 115 1382
210000 115 1382
211000 109 1388
212000 106 1391
213000 114 1383
214000 112 1385
215000 114 1383
216000 121 1376
217000 127 1370
218000 120 1377
219000 121 1376
220000 120 1377
221000 120 1377
222000 121 1376
223000 114 1383
224000 120 1377
225000 117 1380
226000 119 1378
227000 121 1376
228000 127 1370
229000 132 1365
230000 127 1370
231000 130 1367
232000 130 1367
233000 128 1369
234000 129 1368
235000 126 1371
236000 120 1377
237000 126 1371
238000 127 1370
239000 126 1371
240000 127 1370
241000 132 1365
242000 137 1360
243000 139 1358
244000 132 1365
245000 138 1359
246000 141 1356
247000 137 1360
248000 138 1359
249000 139 1358
250000 131 1366
251000 132 1365
252000 137 1360
253000 134 1363
254000 133 1364
255000 137 1360
256000 139 1358
257000 137 1360
258000 143 1354
259000 142 1355
260000 141 1356
261000 145 1352
262000 139 1358
263000 141 1356
264000 146 1351
265000 148 1349
266000 140 1357
267000 136 1361
268000 139 1358
269000 143 1354
270000 137 1360
271000 134 1363
272000 136 1361
273000 131 1366
274000 134 1363
275000 134 1363
276000 128 1369
277000 126 1371
278000 137 1360
279000 132 1365
280000 128 1369
281000 132 1365
282000 124 1373
283000 126 1371
284000 128 1369
285000 131 1366
286000 131 1366
287000 127 1370
288000 132 1365
289000 130 1367
290000 130 1367
291000 135 1362
292000 133 1364
293000 136 1361
294000 135 1362
295000 136 1361
296000 135 1362
297000 130 1367
298000 125 1372
299000 124 1373
300000 125 1372
301000 126 1371
302000 124 1373
303000 126 1371
304000 124 1373
305000 124 1373
306000 128 1369
307000 131 1366
308000 128 1369
309000 136 1361
310000 134 1363
311000 130 1367
312000 132 1365
313000 132 1365
314000 139 1358
315000 138 1359
316000 135 1362
317000 138 1359
318000 138 1359
319000 141 1356
320000 139 1358
321000 138 1359
322000 142 1355
323000 143 1354
324000 145 1352
325000 142 1355
326000 148 1349
327000 145 1352
328000 146 1351
329000 146 1351
330000 155 1342
331000 153 1344
332000 146 1351
333000 141 1356
334000 144 1353
335000 145 1352
336000 152 1345
337000 155 1342
338000 154 1343
339000 151 1346
340000 153 1344
341000 154 1343
342000 150 1347
343000 149 1348
344000 149 1348
345000 144 1353
346000 144 1353
347000 143 1354
348000 153 1344
349000 155 1342
350000 150 1347
351000 156 1341
352000 157 1340
353000 154 1343
354000 153 1344
355000 155 1342
356000 155 1342
357000 163 1334
358000 156 1341
359000 159 1338
360000 160 1337
361000 156 1341
362000 157 1340
363000 155 1342
364000 155 1342
365000 150 1347
366000 156 1341
367000 157 1340
368000 158 1339
369000 156 1341
370000 155 1342
371000 151 1346
372000 151 1346
373000 159 1338
374000 161 1336
375000 160 1337
376000 160 1337
377000 160 1337
378000 159 1338
379000 165 1332
380000 165 1332
381000 170 1327
382000 165 1332
383000 166 1331
384000 164 1333
385000 162 1335
386000 157 1340
387000 158 1339
388000 160 1337
389000 163 1334
390000 161 1336
391000 167 1330
392000 163 1334
393000 168 1329
394000 168 1329
395000 169 1328
396000 170 1327
397000 171 1326
398000 165 1332
399000 163 1334
400000 166 1331
401000 171 1326
402000 164 1333
403000 162 1335
404000 167 1330
405000 163 1334
406000 167 1330
407000 163 1334
408000 169 1328
409000 168 1329
410000 169 1328
411000 163 1334
412000 167 1330
413000 166 1331
414000 168 1329
415000 173 1324
416000 170 1327
417000 175 1322
418000 176 1321
419000 170 1327
420000 164 1333
421000 164 1333
422000 165 1332
423000 163 1334
424000 162 1335
425000 160 1337
426000 163 1334
427000 166 1331
428000 166 1331
429000 170 1327
430000 168 1329
431000 170 1327
432000 164 1333
433000 159 1338
434000 164 1333
435000 163 1334
436000 167 1330
437000 161 1336
438000 158 1339
439000 160 1337
440000 155 1342
441000 153 1344
442000 154 1343
443000 158 1339
444000 152 1345
445000 155 1342
446000 152 1345
447000 154 1343
448000 153 1344
449000 156 1341
450000 158 1339
451000 148 1349
452000 153 1344
453000 157 1340
454000 159 1338
455000 159 1338
456000 157 1340
457000 156 1341
458000 160 1337
459000 161 1336
460000 164 1333
461000 163 1334
462000 163 1334
463000 170 1327
464000 169 1328
465000 170 1327
466000 175 1322
467000 177 1320
468000 174 1323
469000 175 1322
470000 176 1321
471000 171 1326
472000 168 1329
473000 171 1326
474000 168 1329
475000 171 1326
476000 172 1325
477000 172 1325
478000 176 1321
479000 176 1321
480000 178 1319
481000 177 1320
482000 180 1317
483000 174 1323
484000 174 1323
485000 176 1321
486000 174 1323
487000 175 1322
488000 174 1323
489000 170 1327
490000 169 1328
491000 171 1326
492000 172 1325
493000 168 1329
494000 169 1328
495000 172 1325
496000 172 1325
497000 175 1322
498000 170 1327
499000 174 1323
500000 169 1328
501000 166 1331
502000 167 1330
503000 169 1328
504000 167 1330
505000 172 1325
506000 175 1322
507000 171 1326
508000 165 1332
509000 171 1326
510000 170 1327
511000 168 1329
512000 174 1323
513000 170 1327
514000 176 1321
515000 165 1332
516000 172 1325
517000 168 1329
518000 169 1328
519000 160 1337
520000 165 1332
521000 172 1325
522000 166 1331
523000 168 1329
524000 169 1328
525000 167 1330
526000 173 1324
527000 166 1331
528000 170 1327
529000 166 1331
530000 165 1332
531000 167 1330
532000 168 1329
533000 165 1332
534000 163 1334
535000 158 1339
536000 157 1340
537000 162 1335
538000 165 1332
539000 170 1327
540000 163 1334
541000 161 1336
542000 161 1336
543000 162 1335
544000 166 1331
545000 168 1329
546000 162 1335
547000 165 1332
548000 164 1333
549000 172 1325
550000 173 1324
551000 178 1319
552000 176 1321
553000 174 1323
554000 173 1324
555000 170 1327
556000 175 1322
557000 171 1326
558000 181 1316
559000 180 1317
560000 177 1320
561000 180 1317
562000 179 1318
563000 179 1318
564000 172 1325
565000 175 1322
566000 183 1314
567000 184 1313
568000 177 1320
569000 181 1316
570000 184 1313
571000 181 1316
572000 183 1314
573000 179 1318
574000 179 1318
575000 183 1314
576000 186 1311
577000 185 1312
578000 183 1314
579000 182 1315
580000 187 1310
581000 184 1313
582000 187 1310
583000 186 1311
584000 185 1312
585000 189 1308
586000 189 1308
587000 189 1308
588000 188 1309
589000 187 1310
590000 189 1308
591000 189 1308
592000 189 1308
593000 192 1305
594000 187 1310
595000 191 1306
596000 195 1302
597000 189 1308
598000 192 1305
599000 186 1311
600000 191 1306
601000 193 1304
602000 194 1303
603000 199 1298
604000 196 1301
605000 191 1306
606000 200 1297
607000 192 1305
608000 194 1303
609000 187 1310
610000 191 1306
611000 197 1300
612000 198 1299
613000 198 1299
614000 195 1302
615000 200 1297
616000 201 1296
617000 197 1300
618000 196 1301
619000 195 1302
620000 198 1299
621000 189 1308
622000 191 1306
623000 194 1303
624000 193 1304
625000 188 1309
626000 191 1306
627000 190 1307
628000 199 1298
629000 197 1300
630000 200 1297
631000 202 1295
632000 203 1294
633000 200 1297
634000 204 1293
635000 202 1295
636000 203 1294
637000 209 1288
638000 209 1288
639000 206 1291
