# Time-averaged data for fix myat1
# TimeStep v_Ntype1in v_Ntype1ou
640000 202 1295
641000 205 1292
642000 209 1288
643000 208 1289
644000 208 1289
645000 208 1289
646000 201 1296
647000 211 1286
648000 204 1293
649000 203 1294
650000 207 1290
651000 207 1290
652000 203 1294
653000 202 1295
654000 204 1293
655000 201 1296
656000 205 1292
657000 199 1298
658000 200 1297
659000 199 1298
660000 195 1302
661000 200 1297
662000 203 1294
663000 204 1293
664000 200 1297
665000 208 1289
666000 208 1289
667000 207 1290
668000 211 1286
669000 208 1289
670000 211 1286
671000 207 1290
672000 210 1287
673000 209 1288
674000 208 1289
675000 208 1289
676000 214 1283
677000 203 1294
678000 203 1294
679000 200 1297
680000 202 1295
681000 200 1297
682000 205 1292
683000 200 1297
684000 198 1299
685000 202 1295
686000 201 1296
687000 207 1290
688000 211 1286
689000 210 1287
690000 210 1287
691000 212 1285
692000 219 1278
693000 212 1285
694000 205 1292
695000 204 1293
696000 207 1290
697000 206 1291
698000 205 1292
699000 202 1295
700000 214 1283
701000 214 1283
702000 214 1283
703000 210 1287
704000 212 1285
705000 213 1284
706000 210 1287
707000 208 1289
708000 213 1284
709000 204 1293
710000 202 1295
711000 201 1296
712000 204 1293
713000 202 1295
714000 201 1296
715000 204 1293
716000 203 1294
717000 202 1295
718000 204 1293
719000 208 1289
720000 203 1294
721000 204 1293
722000 202 1295
723000 204 1293
724000 202 1295
725000 207 1290
726000 203 1294
727000 198 1299
728000 193 1304
729000 198 1299
730000 199 1298
731000 197 1300
732000 199 1298
733000 199 1298
734000 194 1303
735000 192 1305
736000 192 1305
737000 193 1304
738000 193 1304
739000 191 1306
740000 193 1304
741000 196 1301
742000 198 1299
743000 200 1297
744000 198 1299
745000 197 1300
746000 203 1294
747000 202 1295
748000 209 1288
749000 199 1298
750000 207 1290
751000 201 1296
752000 203 1294
753000 200 1297
754000 209 1288
755000 206 1291
756000 205 1292
757000 207 1290
758000 206 1291
759000 203 1294
760000 207 1290
761000 203 1294
762000 204 1293
763000 202 1295
764000 201 1296
765000 203 1294
766000 200 1297
767000 206 1291
768000 209 1288
769000 202 1295
770000 205 1292
771000 205 1292
772000 207 1290
773000 203 1294
774000 203 1294
775000 201 1296
776000 208 1289
777000 206 1291
778000 202 1295
779000 198 1299
780000 197 1300
781000 202 1295
782000 203 1294
783000 207 1290
784000 208 1289
785000 211 1286
786000 206 1291
787000 207 1290
788000 208 1289
789000 211 1286
790000 209 1288
791000 204 1293
792000 210 1287
793000 208 1289
794000 205 1292
795000 208 1289
796000 213 1284
797000 215 1282
798000 212 1285
799000 214 1283
800000 207 1290
801000 204 1293
802000 210 1287
803000 203 1294
804000 212 1285
805000 213 1284
806000 214 1283
807000 207 1290
808000 205 1292
809000 207 1290
810000 209 1288
811000 209 1288
812000 216 1281
813000 220 1277
814000 219 1278
815000 217 1280
816000 211 1286
817000 214 1283
818000 213 1284
819000 216 1281
820000 212 1285
821000 216 1281
822000 211 1286
823000 210 1287
824000 211 1286
825000 211 1286
826000 207 1290
827000 205 1292
828000 213 1284
829000 205 1292
830000 210 1287
831000 211 1286
832000 211 1286
833000 217 1280
834000 216 1281
835000 219 1278
836000 219 1278
837000 216 1281
838000 219 1278
839000 213 1284
840000 210 1287
841000 215 1282
842000 212 1285
843000 216 1281
844000 218 1279
845000 217 1280
846000 217 1280
847000 222 1275
848000 218 1279
849000 215 1282
850000 211 1286
851000 209 1288
852000 211 1286
853000 207 1290
854000 209 1288
855000 210 1287
856000 205 1292
857000 202 1295
858000 200 1297
859000 206 1291
860000 202 1295
861000 200 1297
862000 207 1290
863000 201 1296
864000 198 1299
865000 199 1298
866000 203 1294
867000 203 1294
868000 205 1292
869000 205 1292
870000 205 1292
871000 211 1286
872000 212 1285
873000 210 1287
874000 206 1291
875000 206 1291
876000 208 1289
877000 207 1290
878000 207 1290
879000 216 1281
880000 215 1282
881000 217 1280
882000 215 1282
883000 215 1282
884000 216 1281
885000 217 1280
886000 217 1280
887000 219 1278
888000 219 1278
889000 218 1279
890000 221 1276
891000 217 1280
892000 217 1280
893000 216 1281
894000 212 1285
895000 213 1284
896000 209 1288
897000 215 1282
898000 214 1283
899000 214 1283
900000 218 1279
901000 219 1278
902000 214 1283
903000 214 1283
904000 211 1286
905000 207 1290
906000 211 1286
907000 217 1280
908000 215 1282
909000 214 1283
910000 217 1280
911000 222 1275
912000 215 1282
913000 221 1276
914000 218 1279
915000 224 1273
916000 226 1271
917000 225 1272
918000 225 1272
919000 233 1264
920000 230 1267
921000 232 1265
922000 228 1269
923000 224 1273
924000 228 1269
925000 222 1275
926000 226 1271
927000 224 1273
928000 219 1278
929000 224 1273
930000 222 1275
931000 218 1279
932000 221 1276
933000 217 1280
934000 220 1277
935000 218 1279
936000 220 1277
937000 218 1279
938000 219 1278
939000 212 1285
940000 222 1275
941000 222 1275
942000 212 1285
943000 211 1286
944000 212 1285
945000 205 1292
946000 206 1291
947000 206 1291
948000 206 1291
949000 211 1286
950000 214 1283
951000 208 1289
952000 219 1278
953000 214 1283
954000 217 1280
955000 222 1275
956000 223 1274
957000 220 1277
958000 215 1282
959000 214 1283
960000 209 1288
961000 217 1280
962000 216 1281
963000 215 1282
964000 221 1276
965000 211 1286
966000 213 1284
967000 210 1287
968000 220 1277
969000 213 1284
970000 212 1285
971000 214 1283
972000 214 1283
973000 212 1285
974000 212 1285
975000 208 1289
976000 211 1286
977000 212 1285
978000 210 1287
979000 211 1286
980000 211 1286
981000 217 1280
982000 214 1283
983000 210 1287
984000 207 1290
985000 206 1291
986000 208 1289
987000 205 1292
988000 203 1294
989000 203 1294
990000 203 1294
991000 201 1296
992000 203 1294
993000 202 1295
994000 208 1289
995000 212 1285
996000 214 1283
997000 213 1284
998000 209 1288
999000 205 1292
1000000 214 1283
1001000 211 1286
1002000 212 1285
1003000 213 1284
1004000 211 1286
1005000 215 1282
1006000 217 1280
1007000 221 1276
1008000 218 1279
1009000 223 1274
1010000 221 1276
1011000 219 1278
1012000 213 1284
1013000 217 1280
1014000 213 1284
1015000 211 1286
1016000 213 1284
1017000 215 1282
1018000 215 1282
1019000 211 1286
1020000 213 1284
1021000 213 1284
1022000 221 1276
1023000 220 1277
1024000 216 1281
1025000 217 1280
1026000 213 1284
1027000 220 1277
1028000 219 1278
1029000 219 1278
1030000 215 1282
1031000 216 1281
1032000 218 1279
1033000 211 1286
1034000 220 1277
1035000 217 1280
1036000 216 1281
1037000 227 1270
1038000 223 1274
1039000 223 1274
1040000 223 1274
1041000 224 1273
1042000 227 1270
1043000 221 1276
1044000 235 1262
1045000 234 1263
1046000 231 1266
1047000 234 1263
1048000 235 1262
1049000 229 1268
1050000 233 1264
1051000 231 1266
1052000 232 1265
1053000 234 1263
1054000 228 1269
1055000 226 1271
1056000 231 1266
1057000 234 1263
1058000 237 1260
1059000 232 1265
1060000 224 1273
1061000 228 1269
1062000 222 1275
1063000 223 1274
1064000 222 1275
1065000 223 1274
1066000 223 1274
1067000 231 1266
1068000 234 1263
1069000 231 1266
1070000 235 1262
1071000 237 1260
1072000 237 1260
1073000 241 1256
1074000 234 1263
1075000 229 1268
1076000 235 1262
1077000 239 1258
1078000 233 1264
1079000 236 1261
1080000 238 1259
1081000 235 1262
1082000 242 1255
1083000 242 1255
1084000 236 1261
1085000 236 1261
1086000 236 1261
1087000 235 1262
1088000 234 1263
1089000 242 1255
1090000 246 1251
1091000 247 1250
1092000 246 1251
1093000 238 1259
1094000 243 1254
1095000 243 1254
1096000 241 1256
1097000 244 1253
1098000 245 1252
1099000 238 1259
1100000 241 1256
1101000 238 1259
1102000 233 1264
1103000 240 1257
1104000 240 1257
1105000 243 1254
1106000 245 1252
1107000 237 1260
1108000 242 1255
1109000 250 1247
1110000 241 1256
1111000 238 1259
1112000 247 1250
1113000 244 1253
1114000 245 1252
1115000 247 1250
1116000 247 1250
1117000 249 1248
1118000 249 1248
1119000 249 1248
1120000 253 1244
1121000 251 1246
1122000 252 1245
1123000 250 1247
1124000 247 1250
1125000 247 1250
1126000 248 1249
1127000 248 1249
1128000 243 1254
1129000 248 1249
1130000 255 1242
1131000 257 1240
1132000 247 1250
1133000 252 1245
1134000 257 1240
1135000 256 1241
1136000 261 1236
1137000 257 1240
1138000 260 1237
1139000 259 1238
1140000 262 1235
1141000 264 1233
1142000 266 1231
1143000 266 1231
1144000 260 1237
1145000 260 1237
1146000 262 1235
1147000 261 1236
1148000 262 1235
1149000 259 1238
1150000 257 1240
1151000 258 1239
1152000 264 1233
1153000 254 1243
1154000 254 1243
1155000 259 1238
1156000 260 1237
1157000 258 1239
1158000 258 1239
1159000 265 1232
1160000 259 1238
1161000 265 1232
1162000 266 1231
1163000 269 1228
1164000 265 1232
1165000 263 1234
1166000 262 1235
1167000 256 1241
1168000 257 1240
1169000 261 1236
1170000 264 1233
1171000 258 1239
1172000 256 1241
1173000 256 1241
1174000 255 1242
1175000 261 1236
1176000 253 1244
1177000 256 1241
1178000 253 1244
1179000 254 1243
1180000 249 1248
1181000 250 1247
1182000 252 1245
1183000 251 1246
1184000 250 1247
1185000 253 1244
1186000 252 1245
1187000 252 1245
1188000 259 1238
1189000 258 1239
1190000 263 1234
1191000 256 1241
1192000 255 1242
1193000 257 1240
1194000 258 1239
1195000 258 1239
1196000 251 1246
1197000 252 1245
1198000 257 1240
1199000 254 1243
1200000 252 1245
1201000 255 1242
1202000 259 1238
1203000 255 1242
1204000 255 1242
1205000 255 1242
1206000 253 1244
1207000 252 1245
1208000 255 1242
1209000 262 1235
1210000 260 1237
1211000 260 1237
1212000 258 1239
1213000 261 1236
1214000 254 1243
1215000 250 1247
1216000 246 1251
1217000 242 1255
1218000 243 1254
1219000 248 1249
1220000 246 1251
1221000 241 1256
1222000 249 1248
1223000 247 1250
1224000 244 1253
1225000 246 1251
1226000 246 1251
1227000 252 1245
1228000 246 1251
1229000 255 1242
1230000 253 1244
1231000 253 1244
1232000 253 1244
1233000 258 1239
1234000 261 1236
1235000 257 1240
1236000 254 1243
1237000 250 1247
1238000 252 1245
1239000 260 1237
1240000 261 1236
1241000 260 1237
1242000 265 1232
1243000 256 1241
1244000 258 1239
1245000 252 1245
1246000 258 1239
1247000 258 1239
1248000 260 1237
1249000 256 1241
1250000 256 1241
1251000 250 1247
1252000 247 1250
1253000 251 1246
1254000 246 1251
1255000 244 1253
1256000 246 1251
1257000 252 1245
1258000 249 1248
1259000 247 1250
1260000 252 1245
1261000 247 1250
1262000 248 1249
1263000 251 1246
1264000 252 1245
1265000 249 1248
1266000 257 1240
1267000 253 1244
1268000 254 1243
1269000 259 1238
1270000 258 1239
1271000 253 1244
1272000 252 1245
1273000 252 1245
1274000 253 1244
1275000 256 1241
1276000 257 1240
1277000 263 1234
1278000 259 1238
1279000 262 1235
1280000 260 1237
1281000 260 1237
1282000 254 1243
1283000 256 1241
1284000 258 1239
1285000 257 1240
1286000 262 1235
1287000 256 1241
1288000 259 1238
1289000 253 1244
1290000 257 1240
1291000 255 1242
1292000 254 1243
1293000 257 1240
1294000 257 1240
1295000 259 1238
1296000 258 1239
1297000 253 1244
1298000 257 1240
1299000 254 1243
1300000 252 1245
1301000 248 1249
1302000 246 1251
1303000 253 1244
1304000 254 1243
1305000 261 1236
1306000 262 1235
1307000 260 1237
1308000 265 1232
1309000 257 1240
1310000 257 1240
1311000 262 1235
1312000 263 1234
1313000 267 1230
1314000 260 1237
1315000 265 1232
1316000 262 1235
1317000 266 1231
1318000 263 1234
1319000 267 1230
1320000 257 1240
1321000 262 1235
1322000 261 1236
1323000 262 1235
1324000 266 1231
1325000 270 1227
1326000 268 1229
1327000 264 1233
1328000 262 1235
1329000 263 1234
1330000 268 1229
1331000 271 1226
1332000 275 1222
1333000 275 1222
1334000 278 1219
1335000 275 1222
1336000 284 1213
1337000 287 1210
1338000 288 1209
1339000 286 1211
1340000 283 1214
1341000 282 1215
1342000 283 1214
1343000 281 1216
1344000 274 1223
1345000 280 1217
1346000 277 1220
1347000 278 1219
1348000 269 1228
1349000 273 1224
1350000 268 1229
1351000 269 1228
1352000 271 1226
1353000 272 1225
1354000 278 1219
1355000 272 1225
1356000 268 1229
1357000 273 1224
1358000 271 1226
1359000 268 1229
1360000 266 1231
1361000 264 1233
1362000 264 1233
1363000 272 1225
1364000 272 1225
1365000 264 1233
1366000 268 1229
1367000 267 1230
1368000 264 1233
1369000 266 1231
1370000 266 1231
1371000 265 1232
1372000 265 1232
1373000 267 1230
1374000 266 1231
1375000 273 1224
1376000 267 1230
1377000 266 1231
1378000 269 1228
1379000 274 1223
1380000 266 1231
1381000 259 1238
1382000 266 1231
1383000 265 1232
1384000 268 1229
1385000 270 1227
1386000 269 1228
1387000 270 1227
1388000 270 1227
1389000 264 1233
1390000 264 1233
1391000 262 1235
1392000 260 1237
1393000 263 1234
1394000 261 1236
1395000 258 1239
1396000 257 1240
1397000 250 1247
1398000 250 1247
1399000 252 1245
1400000 253 1244
1401000 252 1245
1402000 255 1242
1403000 254 1243
1404000 260 1237
1405000 259 1238
1406000 265 1232
1407000 266 1231
1408000 257 1240
1409000 263 1234
1410000 259 1238
1411000 256 1241
1412000 256 1241
1413000 257 1240
1414000 249 1248
1415000 250 1247
1416000 246 1251
1417000 254 1243
1418000 250 1247
1419000 256 1241
1420000 253 1244
1421000 255 1242
1422000 259 1238
1423000 259 1238
1424000 253 1244
1425000 251 1246
1426000 243 1254
1427000 250 1247
1428000 247 1250
1429000 251 1246
1430000 250 1247
1431000 249 1248
1432000 256 1241
1433000 251 1246
1434000 253 1244
1435000 250 1247
1436000 252 1245
1437000 255 1242
1438000 249 1248
1439000 241 1256
1440000 251 1246
1441000 247 1250
1442000 250 1247
1443000 245 1252
1444000 251 1246
1445000 259 1238
1446000 254 1243
1447000 256 1241
1448000 252 1245
1449000 253 1244
1450000 253 1244
1451000 259 1238
1452000 259 1238
1453000 257 1240
1454000 263 1234
1455000 258 1239
1456000 256 1241
1457000 253 1244
1458000 257 1240
1459000 258 1239
1460000 261 1236
1461000 264 1233
1462000 257 1240
1463000 260 1237
1464000 260 1237
1465000 266 1231
1466000 261 1236
1467000 262 1235
1468000 261 1236
1469000 263 1234
1470000 259 1238
1471000 263 1234
1472000 261 1236
1473000 262 1235
1474000 256 1241
1475000 256 1241
1476000 264 1233
1477000 260 1237
1478000 257 1240
1479000 257 1240
1480000 255 1242
1481000 261 1236
1482000 262 1235
1483000 259 1238
1484000 259 1238
1485000 258 1239
1486000 256 1241
1487000 257 1240
1488000 262 1235
1489000 265 1232
1490000 262 1235
1491000 261 1236
1492000 263 1234
1493000 259 1238
1494000 265 1232
1495000 265 1232
1496000 266 1231
1497000 266 1231
1498000 267 1230
1499000 272 1225
1500000 272 1225
